"Time","A153_Door"
1701100428833,0
1701100693344,0
1701706616405,0
1701706991666,1
1701707014836,0
1701707938337,1
1701754898384,0
1701754912999,1
1701759553362,0
1701759799845,1
1701759985696,0
1701759990119,1
1701760162400,0
1701760169360,1
1701760458616,0
1701760458665,1
1701760536929,0
1701760543153,1
1701760896251,0
1701760899802,1
1701761338466,0
1701761341110,1
1701763508403,0
1701763700571,1
1701764742606,0
1701765623378,0
1701766304598,0
1701767266359,0
1701769456809,1
1701771350146,0
1701772352562,1
1701772353479,0
1701772421430,1
1701773363351,0
1701773367329,1
1701773690659,0
1701773695865,1
1701773950026,0
1701773959867,1
1701773962772,0
1701773974488,1
1701773985697,0
1701773986087,1
1701774008412,0
1701774303180,1
1701776464349,0
1701776468337,1
1701776469299,0
1701776506336,1
1701776935715,0
1701776942118,1
1701776944095,0
1701776949313,1
1701777717924,0
1701777955745,1
1701781170219,0
1701781886674,1
1701784175706,0
1701784806307,1
1701784836802,0
1701784837359,1
1701784864188,0
1701784897696,1
1701784910092,0
1701784943233,1
1701784953264,0
1701784953754,1
1701784971033,0
1701785000803,1
1701785062350,0
1701785063226,1
1701785174763,0
1701785182392,1
1701787378240,0
1701787385662,1
1701787502835,0
1701789652104,1
1701842337564,0
1701842355052,1
1701851108233,0
1701851443511,1
1701851461414,0
1701851466404,1
1701851626734,0
1701851628802,1
1701851762614,0
1701851766536,1
1701851784960,0
1701851789703,1
1701851813184,0
1701851817275,1
1701851829369,0
1701852839658,1
1701852843784,0
1701852852754,1
1701852961426,0
1701852964746,1
1701853773774,0
1701853841455,1
1701853841951,0
1701856917185,1
1701857412586,0
1701859281159,0
1701859563473,0
1701860241234,1
1701865522434,0
1701865527351,1
1701867082674,0
1701867170046,1
1701867277196,0
1701867293626,1
1701867634552,0
1701867646599,1
1701878426539,0
1701878443535,1
1701932145266,0
1701932149379,1
1701932494963,0
1701942059196,1
1701942193741,0
1701942198340,1
1701942347937,0
1701942352806,1
1701942424414,0
1701942450220,1
1701942505097,0
1701942507918,1
1701944029023,0
1701944891091,1
1701944949384,0
1701944956345,1
1701944957712,0
1701945055036,1
1701945055436,0
1701947484466,1
1701953737534,0
1701953742408,1
1701954104034,0
1701954243794,1
1701954390402,0
