Start Time;End Time
2023-11-27 08:00;2023-11-27 09:15
2023-11-27 09:30;2023-11-27 10:10
2023-11-27 10:20;2023-11-27 12:40
2023-11-27 13:35;2023-11-27 14:55
2023-11-27 15:15;2023-11-27 16:35
2023-11-28 08:00;2023-11-28 10:25
2023-11-28 10:30;2023-11-28 12:00
2023-11-28 15:00;2023-11-28 16:15
2023-11-29 09:30;2023-11-29 11:50
2023-11-30 08:00;2023-11-30 09:30
2023-11-30 10:35;2023-11-30 12:05
2023-11-30 12:35;2023-11-30 13:45
2023-11-30 14:05;2023-11-30 15:20
2023-12-01 08:00;2023-12-01 09:15
2023-12-01 09:35;2023-12-01 11:05
2023-12-01 11:40;2023-12-01 13:00
2023-12-01 13:50;2023-12-01 15:20
2023-12-04 08:00;2023-12-04 09:15
2023-12-04 09:30;2023-12-04 10:10
2023-12-04 10:20;2023-12-04 12:40
2023-12-04 13:35;2023-12-04 14:55
2023-12-04 15:15;2023-12-04 16:35
2023-12-05 08:00;2023-12-05 10:25
2023-12-05 10:30;2023-12-05 12:00
2023-12-05 13:05;2023-12-05 14:10
2023-12-05 15:00;2023-12-05 16:15
2023-12-06 09:30;2023-12-06 11:50
2023-12-07 08:00;2023-12-07 09:30
2023-12-07 10:35;2023-12-07 12:05
2023-12-07 14:05;2023-12-07 15:20
2023-12-08 08:00;2023-12-08 09:15
2023-12-08 09:35;2023-12-08 11:05
2023-12-08 11:40;2023-12-08 13:00
2023-12-08 13:50;2023-12-08 15:20
2023-12-11 08:00;2023-12-11 09:15
2023-12-11 09:30;2023-12-11 10:10
2023-12-11 10:20;2023-12-11 12:40
2023-12-11 13:35;2023-12-11 14:55
2023-12-11 15:15;2023-12-11 16:35
2023-12-12 10:30;2023-12-12 12:00
2023-12-12 13:05;2023-12-12 14:10
2023-12-12 15:00;2023-12-12 16:15
2023-12-13 09:30;2023-12-13 11:50
2023-12-14 08:00;2023-12-14 09:30
2023-12-14 10:35;2023-12-14 12:05
2023-12-14 14:05;2023-12-14 15:20
2023-12-15 08:00;2023-12-15 09:15
2023-12-15 09:35;2023-12-15 11:05
2023-12-15 11:40;2023-12-15 13:00
2023-12-15 13:50;2023-12-15 15:20
2023-12-18 08:00;2023-12-18 09:15
2023-12-18 09:30;2023-12-18 10:10
2023-12-18 10:20;2023-12-18 12:40
2023-12-18 13:35;2023-12-18 14:55
2023-12-18 15:15;2023-12-18 16:35
2023-12-19 10:30;2023-12-19 12:00
2023-12-19 12:10;2023-12-19 13:00
2023-12-19 13:05;2023-12-19 14:10
2023-12-19 15:00;2023-12-19 16:15
2023-12-20 09:30;2023-12-20 11:50
